Title,Video_length,Video_link,Likes,Views,Publish_date,Comments,Video_length_seconds
JEE Advanced Physics PYQs🔥 WAVE ON STRING (2024-2006) | Must attend for Every JEE ADV Aspirant,55:18:00,https://www.youtube.com/watch?v=PRmuj5qkTdg,415,9412,2025-04-17,106,199080
Mohit Sir's STRAIGHT Talk on NTA Controversy | NDTV Interview,04:17,https://www.youtube.com/watch?v=Eb3AJAWPZ0U,1680,64311,2025-04-16,93,257
JEE Advanced 2025: 2 Organic Questions That Will Test Your Real Concepts!,28:30:00,https://www.youtube.com/watch?v=9j-ulbl54jc,595,16936,2025-04-13,80,102600
JEE Main 2025 (Session 2) EXPERT Analysis of Answer Key For HIGHER Marks,32:30:00,https://www.youtube.com/watch?v=cxte3rjgEAs,173,18870,2025-04-12,165,117000
Don’t Just Learn — Understand It Deeply! | Torsional Constant Derivation | Elasticity | JEE Advanced,17:37,https://www.youtube.com/watch?v=ye2LMY9hhJ4,463,10177,2025-04-11,58,1057
JEE Advanced Questions That Can Be Solved Without Solving!,03:07,https://www.youtube.com/watch?v=9kB0zDVCTnw,366,11227,2025-04-10,50,187
JEE Advanced 2025: Must Watch Before Your Next Mock!,01:09:01,https://www.youtube.com/watch?v=bqvtTICm5kE&pp=0gcJCYsJAYcqIYzv,824,19485,2025-04-09,94,4141
This Test Series Could Be the REASON You Crack JEE Advanced 2025!,08:46,https://www.youtube.com/watch?v=oE4aDwouzeI,2323,379147,2025-04-07,63,526
Choosing the Right JEE Mentor: Experienced Teachers vs Influencers – What Really Matters?,41:50:00,https://www.youtube.com/watch?v=_Aaqpshz2ko&pp=0gcJCYsJAYcqIYzv,246,8659,2025-04-05,51,150600
📚 Role of School in JEE Prep – What Actually Matters?,50:04:00,https://www.youtube.com/watch?v=bbabS7zzWtw,310,9412,2025-04-04,56,180240
Most JEE Aspirants REGRET Not Following This JEE Advanced 2025 Strategy,24:34:00,https://www.youtube.com/watch?v=HD6usg_l2c4,5535,410878,2025-04-03,272,88440
Class 12 + JEE? 🤔 | Why Most Students Fail at Balancing Both | Here’s the Right Way!,17:59,https://www.youtube.com/watch?v=3vzoA7Nz05c,289,7104,2025-04-01,51,1079
"JEE 2026 & 2027: These 5 Tips Will Make Prep 10x Easier! | (First-Timers, Save Your Prep!)",16:29,https://www.youtube.com/watch?v=A_J82xQQ7XA,751,45200,2025-03-28,107,989
"Top 7 Things Every JEE 2026 Aspirant MUST Do | 🧠 No Excuses, Only Results",43:00:00,https://www.youtube.com/watch?v=PfbQmZGCs3M,525,11523,2025-03-27,82,154800
🔥Most Repeated Twisters in JEE Chemistry! | Trickiest Questions on Coordination & Ionic Equilibrium,21:03,https://www.youtube.com/watch?v=el7vqa7bNuk,333,40745,2025-03-26,18,1263
JEE 2025 & 2026 Eligibility – Are You Really Qualified? 🚨 75% Rule & Latest Update!,07:17,https://www.youtube.com/watch?v=Bc2QP8sZAAQ,297,137495,2025-03-26,118,437
⏳ 1 Minute Trick to Solve Any Spring Mass System Question! 🔥⚡,42:56:00,https://www.youtube.com/watch?v=1hu40sYW2Bs,628,35005,2025-03-21,42,154560
This JEE Question SHOCKED Even the Toppers & Broke the Internet! 😱 Full Explanation Revealed!,01:45:54,https://www.youtube.com/watch?v=8SUREF0KADw,731,33650,2025-03-20,41,6354
JEE Main 2025: Do This in the Last 12 Days | Final Reminder | ALK Sir’s Final Tip,02:05,https://www.youtube.com/watch?v=zrwertAtopA,277,6188,2025-03-19,27,125
This tricky matrix question has confused JEE aspirants for years! Can you crack it? 🧐,15:25,https://www.youtube.com/watch?v=o0r0c8rv_5Y,628,31000,2025-03-12,34,925
The Best Selected Question of JEE Advanced 2020 See If You Can Crack It! ABJ SIR,15:41,https://www.youtube.com/watch?v=xVSu1iaKyj8,446,12340,2025-03-11,53,941
🔥 Watch This or Regret Later! 😱(JEE 2027) | Strategies That Actually Work | 99% Students Ignore This,01:24:02,https://www.youtube.com/watch?v=gzwNnRZnH-k,867,426773,2025-03-09,107,5042
"🚀 IIT-JEE 2026: Crack it SMART, not Hard! | Personalized 99+%ile Plan |XI-XII & Early Droppers Batch",01:14:55,https://www.youtube.com/watch?v=U8so5Jl1LbY,27072,2957223,2025-03-08,255,4495
🎯 IIT JEE में Selection चाहिए? | This is Your Best Offline Batch! | Real IITian Experienced Mentors,48:20:00,https://www.youtube.com/watch?v=FbNhTgJjsmw,1072,1316141,2025-03-07,114,174000
How To Solve JEE Main Questions in SECONDS!,01:08,https://www.youtube.com/watch?v=uiH-DXsM6dQ,387,13234,2025-03-05,28,68
"How concept of pH is applied to mixture   polyprotic acid, Buffer solution and more",38:59:00,https://www.youtube.com/watch?v=HSXDNtCxKIA&pp=0gcJCYsJAYcqIYzv,172,30606,2025-03-05,16,140340
Solve Any System of Linear Equations Instantly! 🔥 Rank of a Matrix,37:49:00,https://www.youtube.com/watch?v=ZH-gM_w9WaA,458,32398,2025-03-03,23,136140
"Mastering Conceptual JEE Chemistry Questions | Carbonyl, Electrochemistry & More! 🚀",32:58:00,https://www.youtube.com/watch?v=f5Y9NUHknxA,348,32858,2025-03-02,27,118680
✅ Most Relevant Test Series for WBJEE & JEE Main 2025! | High-Quality at Lowest Price!,06:23,https://www.youtube.com/watch?v=-aERqGfLNoM,119,61787,2025-03-01,56,383
This JEE Puzzle Will Test Your Concepts | How One Chapter Helps Solve Another ? | JEE Smart Approach,28:18:00,https://www.youtube.com/watch?v=g-ZfqNd-m08,898,32280,2025-02-27,37,101880
JEE 2025 : Chemistry Chapter wise Analysis,30:48:00,https://www.youtube.com/watch?v=lZeEHIPAJDU&pp=0gcJCYsJAYcqIYzv,695,21710,2025-02-26,34,110880
Lagrange’s Mean Value Theorem (LMVT) | IIT JEE PYQ | (f(0))^2+(f'(0))^2=9 | JEE Advanced 2025 | #132,31:50:00,https://www.youtube.com/watch?v=UwJJDAFYr0o,1917,32591,2025-02-25,11,114600
JEE Main 2025: Last Chance to Fix Your Mistakes! (Important Update),03:58,https://www.youtube.com/watch?v=p-c_oZ3Mpa4&pp=0gcJCYsJAYcqIYzv,176,8166,2025-02-24,60,238
The Most Controversial Semiconductor Question in JEE Main! | 99% Students Got It Wrong,18:47,https://www.youtube.com/watch?v=cLlKVMFTNXU&pp=0gcJCYsJAYcqIYzv,193,37333,2025-02-14,28,1127
📊 Physics Paper Analysis of JEE Advanced- Last 19 Years | JEE Physics Analysis | ABJ Sir,28:57:00,https://www.youtube.com/watch?v=Sbxbfditx58,1363,38812,2025-02-13,199,104220
"🔥 JEE 2025: Get ₹15,096 Worth of Premium JEE Courses for FREE! | CATS Offline 2025 | Don’t Miss Out!",38:42:00,https://www.youtube.com/watch?v=P8upFS65G6w,837,904537,2025-02-12,686,139320
JEE Main 2025 Cut-Off Prediction 🔥 | Will You Qualify?,05:02,https://www.youtube.com/watch?v=uLN9XUHhk-c,534,38015,2025-02-11,274,302
Expansion,03:47,https://www.youtube.com/watch?v=ETryHg2TLDo,567,11452,2025-02-07,72,227
How to Use JEE Main 2025 January Papers for April Attempt?,05:59,https://www.youtube.com/watch?v=fm_NMG5juVo,450,12364,2025-02-05,131,359
🔥 JEE Main 2025 Answer Key Analysis! | Questions to Challenge for Higher Marks!,10:47,https://www.youtube.com/watch?v=a0ymC3MrXTI&pp=0gcJCYsJAYcqIYzv,487,43410,2025-02-04,691,647
✅ How to CHALLENGE NTA Answer Key 2025 | JEE Main Answer Key 2025 | NS Sir,04:41,https://www.youtube.com/watch?v=n97bEveeiOA,181,16517,2025-02-04,96,281
"🏆 Secure a Top Rank in JEE MAIN, ADVANCED & BITSAT 2025 with Our High-Performance Test Series!",05:03,https://www.youtube.com/watch?v=VbVj4DG_51k&pp=0gcJCYsJAYcqIYzv,335,522626,2025-02-04,121,303
"🚀Crack BITSAT 2025: All You Need to Know- Cut Off, Eligibility, Exam Dates, Test Format, Scholarship",18:58,https://www.youtube.com/watch?v=G1sY5Jn5l-s,797,29183,2025-02-03,88,1138
JEE 2025 Aspirants: This Mock Plan Will CHANGE Everything! | Achieve Your Top Rank FAST! 🚀,21:27,https://www.youtube.com/watch?v=gBWOJCMrpnU,1106,73081,2025-02-03,148,1287
🚀 ABC 2025: From JEE Main to Advanced – The Perfect Plan for a Smooth Transition to IIT! 🔥,01:09:08,https://www.youtube.com/watch?v=8xXfK7qdwj4,686,332940,2025-01-31,318,4148
🔥 Master JEE ADV 2025 with the Ultimate 40-Day Revision Plan | CATS Star: Your Rank Booster Plan,40:22:00,https://www.youtube.com/watch?v=6_13u_MaPWw,801,534050,2025-01-30,264,145320
This 6-Step Physics Plan Will Change Your JEE Advanced 2025 Prep! 🚀 (Don’t Miss #3!) 😨,31:29:00,https://www.youtube.com/watch?v=03ESAVHHZgU,1692,42459,2025-01-28,248,113340
🔥 Jan 28-29 Exam Must-Watch! | Must-Do Concepts for MAXIMUM Marks! | JEE Main 2025,08:07,https://www.youtube.com/watch?v=WdskfV71ti4,565,15876,2025-01-27,72,487
🚀 JEE Main April 2025: Don’t Miss This Game-Changer Plan! | Beat 99% of Students with This Strategy!,37:03:00,https://www.youtube.com/watch?v=JuUQnBAMxYM,2316,806480,2025-01-25,333,133380
Stuck on These 15? 🤔 | What NOT to Do for JEE Main April & Advanced 2025 Success! 🎯,26:31:00,https://www.youtube.com/watch?v=JKdSzBGTuLs,1794,47500,2025-01-24,276,95460
😱 Real Insights from 22-23 Jan JEE Papers for the 28-29 Jan Exam!,07:43,https://www.youtube.com/watch?v=dIx-_jw8naE,1089,31495,2025-01-23,126,463
🤯 Test Your JEE Main 2025 Formula Memory with 22nd Jan Shift 1 Paper!,04:46,https://www.youtube.com/watch?v=Y2A65F1LglQ,1659,41101,2025-01-22,180,286
🚀 25 Game-Changing Math Concepts Every JEE Aspirant Must Master Before the Exam!,22:14,https://www.youtube.com/watch?v=AChfLGri2rY,2970,55732,2025-01-21,178,1334
❌ Avoid These Exam Day Mistakes in JEE Main 2025! | Score High with Confidence | Mohit Tyagi Sir,15:00,https://www.youtube.com/watch?v=Q_14xzkImo4,1288,32020,2025-01-19,128,900
JEE Main 2025 Admit Card: Explained All IMPORTANT Instructions | Documents To Carry | ABJ Sir,04:01,https://www.youtube.com/watch?v=fxicJJTvvy4,1396,75874,2025-01-18,438,241
🔥 JEE Main 2025: How to Change the Game in the Remaining Days! | Score 99%ile in Just 6 DAYS!,09:59,https://www.youtube.com/watch?v=Oo_D3Ux0IJ8,736,17412,2025-01-17,157,599
Why JEE Questions Confuse You with Extra Info (And How to Solve Them!),02:07,https://www.youtube.com/watch?v=jzRQJmW2d60,523,14073,2025-01-16,56,127
The Hardest PnC Question in JEE History! |JEE MAIN 12-4-23 Shift-1 que explained in detail & correct,47:36:00,https://www.youtube.com/watch?v=wxZvnVdEoT4&pp=0gcJCYsJAYcqIYzv,839,28678,2025-01-15,108,171360
JEE 2026: This ONE Step Will Fix All Your Class 11 Mistakes! 🚀,18:24,https://www.youtube.com/watch?v=H7GWB-fYZx0,438,42974,2025-01-12,63,1104
Why You MUST Learn This Trick for JEE Mains 2025!,03:02,https://www.youtube.com/watch?v=F3xfTQEaBJY,573,16618,2025-01-11,46,182
How to Outsmart NTA’s Confusing Chemistry Questions! 🧪⏱️,06:13,https://www.youtube.com/watch?v=E2gkB9wXcB0,849,27673,2025-01-10,52,373
Time-Saving Tricks for JEE Main 2025: Solve Tough Questions Easily!,04:22,https://www.youtube.com/watch?v=euVZc5bM8K4,608,17899,2025-01-09,53,262
Shocking! This Is How Examiners Think – Unlock Short Solutions! | JEE 2025 |The Shortcut You Need!,06:55,https://www.youtube.com/watch?v=PXt5j6Q7UmU,1015,23699,2025-01-08,96,415
Learn This Shortcut & Solve JEE Problems in Seconds! ⏱ | Mohit Tyagi Sir,02:25,https://www.youtube.com/watch?v=b6VxFN331NM,817,16989,2025-01-07,58,145
😱 Why This JEE Main Question Has No Correct Answer – Mohit Sir’s Analysis!,07:58,https://www.youtube.com/watch?v=w_b1NivXjDk,705,21575,2025-01-06,84,478
"Smart Tricks to Solve JEE Main Problems Quickly! | Save Time, Score High! | Mohit Tyagi Sir",03:18,https://www.youtube.com/watch?v=6gofnDe29TA,676,16912,2025-01-05,50,198
"🚀Introducing PYQ Express – Revolutionizing JEE Prep for Students | Crack JEE Faster, Smarter, Better",43:47:00,https://www.youtube.com/watch?v=JHpCT1zS7sg,1396,307120,2025-01-04,178,157620
I Discovered the SECRET to Solving JEE Main Questions Fast!,01:02,https://www.youtube.com/watch?v=wdkFe_Wvk78,666,16440,2025-01-03,55,62
🔥 JEE Main 2022: Mind-Blowing Solution to a Lengthy Question! | Mohit Tyagi Sir,03:28,https://www.youtube.com/watch?v=eaO0Q4ZfOYk,1470,65330,2025-01-02,80,208
Competishun 2024: A Year to Remember | Highlights & Achievements,02:05,https://www.youtube.com/watch?v=uxfXkZS8X5k,214,7351,2024-12-31,31,125
🔥 JEE Main 2024: Solve This Tough Question Without Calculations! Here's the Secret Trick! | MT Sir,01:03,https://www.youtube.com/watch?v=-oUhRsLPK8k&pp=0gcJCYsJAYcqIYzv,497,20780,2024-12-28,43,63
🌟 Boost Your Preparation with a FREE Online JEE MAIN SPECIAL MOCK TEST! 🚀 | Competishun | ABJ SIR,05:05,https://www.youtube.com/watch?v=1Kip5NjMtz0,328,9867,2024-12-27,84,305
🌟 Boost Your Preparation with a FREE Online JEE MAIN SPECIAL MOCK TEST! 🚀 | Competishun | ABJ SIR,05:05,https://www.youtube.com/watch?v=1Kip5NjMtz0,681,14300,2023-12-21,65,305
🔥🔥 JEE 2026 Early Drop: (REAL Advantages) | Complete MASTER PLAN to Boost Your Rank After Drop! 🚀,23:44,https://www.youtube.com/watch?v=GkbRsMW3Luc,10433,716559,2024-12-26,153,1424
Start Class 12 Prep Now or Regret Later? | JEE 2026 Strategy That Works | Expert Advice for JEE 2026,31:16:00,https://www.youtube.com/watch?v=LaINGzbhoFg,17507,1346592,2024-12-25,80,112560
Rank Booster Test Series for JEE Main 2025 January Attempt | UTS-III | Starts Jan 1st! | ABJ Sir,00:45,https://www.youtube.com/watch?v=CG3yGOt7yYQ,521,109042,2024-12-24,140,45
🔴 How I Cracked IIT with YouTube Only! | Saketh | IIT Madras,08:22,https://www.youtube.com/watch?v=1rELbOHoqWo,469,10664,2024-12-23,94,502
Ace UCEED 2025 with Our FREE Test Series! | Competishun | ABJ Sir,03:41,https://www.youtube.com/watch?v=vkR_T_1vRLk,143,4779,2024-12-21,38,221
"JEE 2027 MASTER PLAN: Crack It Like a Topper! | Tips, Do’s/Don’ts & Strategy for Top Ranks",01:31:42,https://www.youtube.com/watch?v=O_3k68dUQok,5987,730571,2024-12-10,107,5502
IIT 3rd Attempt: Jab Sapne Do Baar Se Na Ho Poore!,01:16,https://www.youtube.com/watch?v=llYYLzsSvK4,787,20369,2024-11-10,88,76
🔥 3rd Chance to IIT! | Should You Take the 2nd Drop? | Pros & Cons | JEE Advanced 2025 Strategy!,18:31,https://www.youtube.com/watch?v=YI3mY17lznc,1677,111052,2024-11-09,0,1111
🔥 IIT JEE 2026: Struggling with XI? | Do FULL SYLLABUS in 1 Year! | Get Back on Track Fast! | MT Sir,01:17:25,https://www.youtube.com/watch?v=pKGYI7CkvjQ,1557,366838,2024-11-07,196,4645
🔥 JEE Advanced 2025: Number of Attempts Increased | 75% Criteria Removed? | Impact on Competition!,16:03,https://www.youtube.com/watch?v=dAFnIS5pKoI&pp=0gcJCYsJAYcqIYzv,1222,52153,2024-11-05,247,963
🔥 JEE Main 2025: Most Relevant & Expert-Designed Test Series! | 20+ Mock Tests for Real Results!,09:04,https://www.youtube.com/watch?v=8RbjLS4xyXI&pp=0gcJCYsJAYcqIYzv,3389,371523,2024-11-04,362,544
TOP STRATEGIES for the Next 80 Days BASED on YOUR JEE Main 2025 Preparation LEVEL! l Mohit Tyagi Sir,35:54:00,https://www.youtube.com/watch?v=xegFIJRz3PE,1208,48535,2024-10-30,181,129240
How To Fill JEE Mains Form 2025 | JEE Main Registration 2025 | JEE Main 2025 Form Fill-Up Made EASY🚀,11:59,https://www.youtube.com/watch?v=bHdWy6Zdv28,1348,65273,2024-10-29,407,719
JEE Main 2025 January Attempt: Essential Tips & Key Points to Remember While Filling the Form,08:46,https://www.youtube.com/watch?v=WU5jQXPUroI,595,13441,2024-10-28,122,526
"🔥All You Need to Know About UCEED 2025 Success Plan | Eligibility, Exam Pattern, Dates, Seats & More",13:04,https://www.youtube.com/watch?v=1fnRnZIfTqQ&pp=0gcJCYsJAYcqIYzv,507,16947,2024-10-23,75,784
🎙️What Aspiring Engineers Must Know for Future (It Might Surprise You) |Dr. Ankit Shah's Predictions,49:10:00,https://www.youtube.com/watch?v=sQL9ZZTqras,3252,82296,2024-10-17,228,177000
🔥 JEE Main's One of the Toughest Question | 3 Unique Solutions (Harder Than JEE Adv) | Number Series,22:04,https://www.youtube.com/watch?v=bx_9hzX5kU4,1132,43561,2024-10-01,149,1324
TRICK TO Solve JEE Main 2024 Lengthy Circle Questions FAST! | Mohit Tyagi Sir | Competishun,02:11,https://www.youtube.com/watch?v=UfOjj3_bmDs,783,23528,2024-09-28,70,131
What's Stopping You from SCORING HIGH in CHEMISTRY? | 7 Secrets & Gameplan for JEE 2025 Jan Attempt,20:45,https://www.youtube.com/watch?v=ZVhPhasq-bc,779,21798,2024-09-26,67,1245
Engineering or Medical? | Find the Best Path for YOU in 60 Days! | JEET-SETU 2025 | Mohit Tyagi Sir,30:34:00,https://www.youtube.com/watch?v=QpeWhM0q0jw,1945,280883,2024-09-25,18,110040
🔥 JEE Main's Most CHALLENGING Question Series | (Harder Than JEE ADVANCED) | Sequence Series |MT Sir,17:45,https://www.youtube.com/watch?v=TbiHN6Sj5hQ,1179,40564,2024-09-22,102,1065
The ONLY Books You NEED for 99 Percentile in JEE MAIN 2025! |🔥 (Very Effective!) | JEE Books for PCM,05:50,https://www.youtube.com/watch?v=f6yPwRtPJC4,539,77529,2024-09-20,72,350
JEE 2025: 99%ile is EASY in JEE Main MATHS! | (YOUR WAY TO 99%ile) | SCORE 99 Percentile in 120 Days,37:06:00,https://www.youtube.com/watch?v=nSInxFsM93w&pp=0gcJCYsJAYcqIYzv,1334,35546,2024-09-14,107,133560
CBSE Private form 2025 Form Out🔥 | Improvement | Essential repeat | Compartment | CBSE Latest Update,04:40,https://www.youtube.com/watch?v=dGJ8ntmwbog&pp=0gcJCYsJAYcqIYzv,301,10763,2024-09-13,140,280
🔥 Your BRAHMASTRA for JEE MAIN 2025 Jan Attempt! | Most Effective Study Plan for Guaranteed Success!,48:52:00,https://www.youtube.com/watch?v=ludqg5HxZUk,4941,487715,2024-09-08,408,175920
Is PARTIAL DROP Right for You? | SECURE Your IIT Dream with This STRATEGY | JEE 2025 | PRABODH Batch,13:23,https://www.youtube.com/watch?v=SkeeYuKL7BA,1295,237501,2024-09-02,93,803
"🔥JEE Main Test Series 2025 for REAL RESULTS! | The MOST CUSTOMIZED, RELEVANT & EXPERT-DESIGNED TESTS",18:12,https://www.youtube.com/watch?v=6CVriOVymbU,1169,283338,2024-08-29,385,1092
Most Effective IIT JEE Mock Test Strategy Ever! | How to Instantly Improve Your Results & Score High,43:25:00,https://www.youtube.com/watch?v=5pzkUcVsRYc,1121,28883,2024-08-23,207,156300
Struggling with JEE Backlogs? 😓Watch This for the Ultimate Solution! 🚀FASTEST Ways to Cover Backlogs,10:10,https://www.youtube.com/watch?v=np_-fiW8fwo,1079,26235,2024-08-14,111,610
Score 99%ILE in JEE MAIN 2025 1ST ATTEMPT with THIS STUDY PLAN! | ABJ Sir | Competishun,34:01:00,https://www.youtube.com/watch?v=Ll60vnOdO98,5728,126012,2024-08-10,768,122460
Master JEE with TOP STUDY MATERIALS & EXPERT TIPS on How to Use Them | Mohit Tyagi Sir,17:00,https://www.youtube.com/watch?v=Q2iVoWtjIQU,2284,167020,2024-08-04,201,1020
🏆 जयघोष 2024 (JaiGhosh) 🏆 | IIT JEE Advanced 2024 Results- Success Celebration! ✌️ |Team Competishun,08:32,https://www.youtube.com/watch?v=_VwcFEhO8SY&pp=0gcJCYsJAYcqIYzv,505,16321,2024-07-31,96,512
CSAB Counselling 2024 - Complete Procedure! | Steps After JoSAA Round 5 | ABJ Sir,31:03:00,https://www.youtube.com/watch?v=ZmE7cyEGZYs,1690,55686,2024-07-22,491,111780
"""We are there for you"" - Initiative by Competishun",01:01,https://www.youtube.com/watch?v=ov9GRJwfeS8,664,17470,2024-07-15,72,61
🚀Expert Roadmap to JEE 2025 Success! | Praveen-XIII Fast Lane 2025 | Dropper Batch | Mohit Tyagi Sir,53:35:00,https://www.youtube.com/watch?v=ImkS1vA4XMk,11605,1059730,2024-07-13,190,192900
Empowering Every Student | Dream Big with Competishun | Student-First Approach | By Competishun,01:05,https://www.youtube.com/watch?v=YTZZpX7f6t4&pp=0gcJCYsJAYcqIYzv,316,12378,2024-06-30,32,65
What To Do ? After JoSAA Seat Allotment Round 1 | Team Competishun | ABJ Sir,12:35,https://www.youtube.com/watch?v=Ti2NSL_mW58,1350,61296,2024-06-20,721,755
🔥 RBC 2025 | Ranker's Batch by Competishun | Online + Offline | IIT- JEE 2025 | Mohit Tyagi Sir,48:56:00,https://www.youtube.com/watch?v=YcgZJO89nyc,5720,592520,2024-06-11,187,176160
JEE Advanced 2024 Result! | Marks vs Rank | Category-Wise Cutoff | ABJ Sir,03:50,https://www.youtube.com/watch?v=oPw70llzliM,804,63983,2024-06-09,203,230
"📋 JoSAA Counselling Procedure 2024: Detailed Guide, Choice Filling Strategies, Key Steps & Documents",01:20:20,https://www.youtube.com/watch?v=bzhEbJp4j7U,4175,116372,2024-06-07,725,4820
All about IIST🔥 | Indian Institute of Space Science Technology🚀 | ISRO | ALK SIR,10:05,https://www.youtube.com/watch?v=aw0_LHgEOa8,492,15658,2024-06-06,90,605
IIT JEE 2025 Success Plan: How Droppers Can Succeed in IIT JEE 2025 ? | Must Know Smart Prep Roadmap,38:37:00,https://www.youtube.com/watch?v=BXFuJsp9w5s,18535,555215,2024-06-05,204,139020
CBSE 2024 Update: Compartment & Improvement Exam Details for Class 10 & 12 Students,04:11,https://www.youtube.com/watch?v=eIZxtyu0MrA,219,9227,2024-06-01,114,251
🎉 Introducing the new face of competishun....,00:23,https://www.youtube.com/watch?v=bAajM49CiQs&pp=0gcJCYsJAYcqIYzv,496,12887,2024-05-31,64,23
JEE Advanced Solutions 2024 | CHEMISTRY | Complete Solutions | Team Competishun,03:32:38,https://www.youtube.com/watch?v=p7aZfWz7qEQ&pp=0gcJCYsJAYcqIYzv,123,6909,2024-05-28,21,12758
JEE Advanced Solutions 2024 | Physics | Complete Solutions | Team Competishun,03:35:16,https://www.youtube.com/watch?v=AqUE0iJtkS8,107,5159,2024-05-28,9,12916
JEE Advanced Solutions 2024 | Mathematics | Complete Solutions | Team Competishun,03:28:02,https://www.youtube.com/watch?v=vtPC33GJCgY,168,6483,2024-05-28,32,12482
JEE Advanced 2024 is Done! | Your Ultimate Guide to Next Steps | PRAVEEN IX Online | Competishun,24:07:00,https://www.youtube.com/watch?v=cLpbnbgeqP8,12127,424264,2024-05-27,98,86820
Didn't Do Well in JEE Main? You Can Still Do Great in JEE Advanced 2024! | Must Watch | MT Sir Tips,12:13,https://www.youtube.com/watch?v=MvEei_Lbg4g,685,13937,2024-05-25,142,733
What You Need to Know Before JEE Advanced 2024 Exam 🤔 | 8 Essential Last-Minute Tips! | ABJ Sir,29:14:00,https://www.youtube.com/watch?v=ZCewIJjnGE8,1231,20088,2024-05-23,213,105240
JEE Advanced Physics PYQs🔥| WAVE OPTICS |2006 - 2023| Must watch for every Advanced Aspirant,01:41:13,https://www.youtube.com/watch?v=cnuCUfAgYcs,591,21551,2024-05-22,78,6073
JEE Adv Physics PYQs: Current Electricity (2006-2023) PART- 2 | JEE 2024 Preparation,01:29:03,https://www.youtube.com/watch?v=FTZ0i92oPbQ,529,19571,2024-05-20,40,5343
Important for JEE Advanced 2024: IIT Kanpur Sample Paper Solution | Must Watch | ABJ Sir|Competishun,02:04:45,https://www.youtube.com/watch?v=Vyd9BwFNgm8,1321,50121,2024-05-19,208,7485
